#nodeA	nodeB	score1
ATM(472)	DCLRE1C(64421)	0
ATP1A1(476)	MAPK3(5595)	0
ARRB2(409)	C5AR1(728)	0
ARRB2(409)	CLTC(1213)	0
ARRB2(409)	CSNK2A1(1457)	0
ARRB2(409)	CSNK2A2(1459)	0
ARRB2(409)	DVL2(1856)	0
ARRB2(409)	FLNA(2316)	0
ARRB2(409)	MDM2(4193)	0
ARRB2(409)	MAP3K5(4217)	0
ARRB2(409)	NFKBIA(4792)	0
ARRB2(409)	MAPK1(5594)	0
ARRB2(409)	MAPK10(5602)	0
ARRB2(409)	PTAFR(5724)	0
ARRB2(409)	RAF1(5894)	0
ARRB2(409)	RALGDS(5900)	0
ARRB2(409)	SLC9A5(6553)	0
ARRB2(409)	SMARCC2(6601)	0
ARRB2(409)	TGFBR3(7049)	0
ARRB2(409)	CXCR4(7852)	0
ARRB2(409)	HIPK3(10114)	0
AXL(558)	GAS6(2621)	0
AXL(558)	GRB2(2885)	0
AXL(558)	IL2RG(3561)	0
AXL(558)	IL15RA(3601)	0
AXL(558)	LCK(3932)	0
AXL(558)	PIK3R1(5295)	0
AXL(558)	PIK3R2(5296)	0
AXL(558)	PTPN11(5781)	0
AXL(558)	SHC1(6464)	0
AXL(558)	PIK3R3(8503)	0
AXL(558)	SOCS1(8651)	0
AXL(558)	RANBP9(10048)	0
AXL(558)	ADAM10(102)	0
ADAM10(102)	EFNA1(1942)	0
ADAM10(102)	TGFA(7039)	0
ADAM10(102)	DLL1(28514)	0
B2M(567)	CALR(811)	0
B2M(567)	CD1A(909)	0
B2M(567)	CD1B(910)	0
B2M(567)	CD1D(912)	0
B2M(567)	CD8A(925)	0
B2M(567)	FCGRT(2217)	0
B2M(567)	LILRB1(10859)	0
BAK1(578)	BCL2(596)	0
BAK1(578)	BCL2A1(597)	0
BAK1(578)	BCL2L1(598)	0
BAK1(578)	MCL1(4170)	0
BCL2(596)	BCL2L1(598)	0
BCL2(596)	BLK(640)	0
BCL2(596)	BNIP1(662)	0
BCL2(596)	BNIP2(663)	0
BCL2(596)	BNIP3(664)	0
BCL2(596)	BNIP3L(665)	0
BCL2(596)	CASP3(836)	0
BCL2(596)	CASP8(841)	0
BCL2(596)	CDK2(1017)	0
BCL2(596)	MAPK14(1432)	0
BCL2(596)	NR4A1(3164)	0
BCL2(596)	HRAS(3265)	0
BCL2(596)	ITPR1(3708)	0
BCL2(596)	KRAS(3845)	0
BCL2(596)	PMAIP1(5366)	0
BCL2(596)	PPP1CA(5499)	0
BCL2(596)	PPP2CA(5515)	0
BCL2(596)	PPP2R5A(5525)	0
BCL2(596)	PPP3CA(5530)	0
BCL2(596)	PRKACA(5566)	0
BCL2(596)	PRKCA(5578)	0
BCL2(596)	MAPK1(5594)	0
BCL2(596)	MAPK3(5595)	0
BCL2(596)	MAPK8(5599)	0
BCL2(596)	MAPK11(5600)	0
BCL2(596)	PSEN1(5663)	0
BCL2(596)	RAD9A(5883)	0
BCL2(596)	RAF1(5894)	0
BCL2(596)	SMN1(6606)	0
BCL2(596)	SOD1(6647)	0
BCL2(596)	TP53(7157)	0
BCL2(596)	TP53BP2(7159)	0
BCL2(596)	SF1(7536)	0
BCL2(596)	HRK(8739)	0
BCL2(596)	PKMYT1(9088)	0
BCL2(596)	ITM2B(9445)	0
BCL2(596)	BAG3(9531)	0
BCL2(596)	BCLAF1(9774)	0
BCL2(596)	BCL2L11(10018)	0
BCL2(596)	BBC3(27113)	0
BCL2(596)	BFAR(51283)	0
BCL2(596)	CYCS(54205)	0
BCL2(596)	RTN4(57142)	0
BCL2(596)	BMF(90427)	0
BCL2(596)	BAG1(573)	0
BCL2(596)	BAD(572)	0
BAG1(573)	BCL2L1(598)	0
BAG1(573)	NR3C1(2908)	0
BAG1(573)	MET(4233)	0
BAG1(573)	PDGFRB(5159)	0
BAG1(573)	RAF1(5894)	0
BAG1(573)	RARA(5914)	0
BAG1(573)	RB1(5925)	0
BAG1(573)	SIAH1(6477)	0
BAG1(573)	VDR(7421)	0
BAG1(573)	PPP1R15A(23645)	0
BAD(572)	BCL2A1(597)	0
BAD(572)	BCL2L1(598)	0
BAD(572)	EWSR1(2130)	0
BAD(572)	SFN(2810)	0
BAD(572)	MCL1(4170)	0
BAD(572)	PAK1(5058)	0
BAD(572)	PIM1(5292)	0
BAD(572)	PPP1CA(5499)	0
BAD(572)	PPP3CA(5530)	0
BAD(572)	PRKACA(5566)	0
BAD(572)	MAPK8(5599)	0
BAD(572)	MAP2K5(5607)	0
BAD(572)	RAF1(5894)	0
BAD(572)	RPS6KA1(6195)	0
BAD(572)	RPS6KA2(6196)	0
BAD(572)	RPS6KA3(6197)	0
BAD(572)	YWHAE(7531)	0
BAD(572)	HRK(8739)	0
BAD(572)	RPS6KA5(9252)	0
BCL2L1(598)	BNIP1(662)	0
BCL2L1(598)	BNIP3(664)	0
BCL2L1(598)	BNIP3L(665)	0
BCL2L1(598)	CASP1(834)	0
BCL2L1(598)	CASP8(841)	0
BCL2L1(598)	CASP9(842)	0
BCL2L1(598)	IRS1(3667)	0
BCL2L1(598)	PMAIP1(5366)	0
BCL2L1(598)	PPP1CA(5499)	0
BCL2L1(598)	MAPK8(5599)	0
BCL2L1(598)	PSEN1(5663)	0
BCL2L1(598)	PSEN2(5664)	0
BCL2L1(598)	RAD9A(5883)	0
BCL2L1(598)	TP53(7157)	0
BCL2L1(598)	IRS2(8660)	0
BCL2L1(598)	HRK(8739)	0
BCL2L1(598)	CFLAR(8837)	0
BCL2L1(598)	BCLAF1(9774)	0
BCL2L1(598)	BCL2L11(10018)	0
BCL2L1(598)	BBC3(27113)	0
BCL2L1(598)	CYCS(54205)	0
BCL2L1(598)	RTN4(57142)	0
BCL2L1(598)	BMF(90427)	0
BCL6(604)	EP300(2033)	0
BCL6(604)	IRF4(3662)	0
BCL6(604)	JUN(3725)	0
BCL6(604)	JUNB(3726)	0
BCL6(604)	JUND(3727)	0
BCL6(604)	MAPK1(5594)	0
BCL6(604)	SP1(6667)	0
BCL6(604)	ZBTB16(7704)	0
BCL6(604)	NCOR1(9611)	0
BCL6(604)	NCOR2(9612)	0
BCL6(604)	HDAC9(9734)	0
BCL6(604)	SIN3A(25942)	0
BCL6(604)	HDAC7A(51564)	0
BCR(613)	BLK(640)	0
BCR(613)	ERCC3(2071)	0
BCR(613)	FES(2242)	0
BCR(613)	SFN(2810)	0
BCR(613)	GRB2(2885)	0
